Color_Channel 	 Set_number 	 Precision 	 Recall 	 FScore 	 Error 
2 	 39 	 0.478885 	 0.883212 	 0.621038 	 54.963410 
2 	 40 	 0.814739 	 0.858628 	 0.836108 	 28.162766 
2 	 41 	 0.601631 	 0.688241 	 0.642028 	 51.980408 
2 	 42 	 0.832977 	 0.955694 	 0.890126 	 19.799376 
2 	 43 	 0.466558 	 0.817227 	 0.594000 	 57.752537 
2 	 44 	 0.634473 	 0.938270 	 0.757030 	 39.095092 
2 	 45 	 0.781185 	 0.951257 	 0.857873 	 24.888093 
2 	 46 	 0.956275 	 0.559748 	 0.706154 	 45.422041 
2 	 47 	 0.948517 	 0.907252 	 0.927425 	 13.532774 
2 	 48 	 0.825176 	 0.553722 	 0.662729 	 50.441633 
2 	 49 	 0.897582 	 0.961495 	 0.928440 	 13.356222 
2 	 50 	 0.814348 	 0.955670 	 0.879367 	 21.522661 
2 	 51 	 0.829537 	 0.958844 	 0.889516 	 19.898366 
2 	 52 	 0.761159 	 0.943736 	 0.842672 	 27.188208 
3 	 1 	 0.847234 	 0.364225 	 0.509441 	 31.639507 
3 	 2 	 0.264023 	 0.888447 	 0.407074 	 74.444905 
3 	 3 	 0.881062 	 0.898724 	 0.889805 	 19.834636 
3 	 4 	 0.482709 	 0.806887 	 0.604052 	 56.728192 
3 	 5 	 0.922501 	 0.918237 	 0.920364 	 14.752370 
3 	 6 	 0.479672 	 0.824013 	 0.606367 	 56.471276 
3 	 7 	 0.645430 	 0.959110 	 0.771609 	 37.185433 
3 	 8 	 0.548469 	 0.954574 	 0.696659 	 46.548216 
3 	 9 	 0.585615 	 0.937406 	 0.720882 	 43.642314 
3 	 10 	 0.788401 	 0.946341 	 0.860181 	 24.533545 
3 	 11 	 0.592013 	 0.971613 	 0.735736 	 41.805250 
3 	 12 	 0.792546 	 0.935271 	 0.858014 	 24.850809 
3 	 13 	 0.785519 	 0.858925 	 0.820584 	 30.392713 
3 	 14 	 0.900484 	 0.614392 	 0.730423 	 36.480694 
3 	 15 	 0.634411 	 0.641742 	 0.638055 	 52.921633 
3 	 16 	 0.781148 	 0.579609 	 0.665453 	 50.123265 
3 	 17 	 0.437041 	 0.973214 	 0.603202 	 56.815360 
3 	 18 	 0.993574 	 0.642734 	 0.780542 	 22.790907 
