alpha_value 	 Precision 	 Recall 	 FScore 	 Error 	 sky_Error 	 cloud_Error 
0.790000 	 0.914758 	 0.939978 	 0.924109 	 9.100431 	 5.092741 	 4.007690 
0.800000 	 0.916046 	 0.938937 	 0.924291 	 9.072887 	 5.004150 	 4.068737 
0.810000 	 0.918035 	 0.937791 	 0.924841 	 9.023381 	 4.886281 	 4.137100 
0.820000 	 0.919284 	 0.936523 	 0.924887 	 9.007328 	 4.798185 	 4.209143 
0.830000 	 0.920695 	 0.935166 	 0.924947 	 8.991419 	 4.697135 	 4.294284 
0.840000 	 0.922082 	 0.933912 	 0.925054 	 8.970325 	 4.598653 	 4.371672 
0.850000 	 0.923839 	 0.932340 	 0.925212 	 8.943837 	 4.479817 	 4.464021 
0.860000 	 0.925320 	 0.930924 	 0.925283 	 8.927783 	 4.377565 	 4.550218 
0.870000 	 0.927019 	 0.929042 	 0.925235 	 8.919183 	 4.254668 	 4.664515 
0.880000 	 0.928327 	 0.927624 	 0.925206 	 8.914713 	 4.162337 	 4.752376 
0.890000 	 0.929691 	 0.926209 	 0.925204 	 8.904741 	 4.062536 	 4.842205 
0.900000 	 0.930891 	 0.924600 	 0.925018 	 8.916320 	 3.976947 	 4.939373 
0.910000 	 0.932230 	 0.922983 	 0.924886 	 8.923388 	 3.887456 	 5.035932 
0.920000 	 0.934372 	 0.920774 	 0.924811 	 8.930405 	 3.772128 	 5.158277 
0.930000 	 0.935518 	 0.918803 	 0.924369 	 8.968973 	 3.689802 	 5.279172 
0.940000 	 0.936601 	 0.916920 	 0.923929 	 9.010522 	 3.619442 	 5.391080 
0.950000 	 0.937642 	 0.915122 	 0.923439 	 9.048166 	 3.563441 	 5.484725 
0.960000 	 0.937712 	 0.895123 	 0.922136 	 10.695207 	 3.473924 	 7.221282 
0.970000 	 0.939927 	 0.911088 	 0.922350 	 9.109551 	 3.409961 	 5.699590 
0.980000 	 0.940997 	 0.909255 	 0.921872 	 9.140192 	 3.341498 	 5.798694 
0.990000 	 0.941915 	 0.907419 	 0.921351 	 9.202521 	 3.285923 	 5.916598 
1.000000 	 NaN 	 NaN 	 NaN 	 NaN 	 NaN 	 NaN 
